# TOPAS Version: 3.9
# Parameter File: /home/hector/AzureBatch/example/example_simulation/I125_seed_in_water.txt
# Results for scorer: DoseAtPhantom1
# Scored in component: ScoringCyl
# Warning: Some steps were not scored due to touchable returning an invalid index number.
# See console log for messages starting with: Topas experienced a potentially serious error in scoring.
# We believe this error is due to an unsolved bug in Geant4 parallel world handling.
# Total number of steps not scored for this reason: 170
# Total amount of energy not scored for this reason: 0.0477306 MeV
# R in 40 bins of 0.05 cm
# Phi in 1 bin  of 360 deg
# Z in 1 bin  of 0.05 cm
# DoseToMedium ( Gy ) : Sum   Mean   Count_in_Bin   Second_Moment   Variance   Standard_Deviation   Histories_with_Scorer_Active   
0, 0, 0, 6.878551062072802e-07, 3.439275672458983e-11, 565, 1.254017120953216e-15, 6.270399124722317e-20, 2.504076501371777e-10, 20000
1, 0, 0, 2.586433289764045e-08, 1.293216669123601e-12, 25, 6.650265783673021e-17, 3.32529915679435e-21, 5.766540693339768e-11, 20000
2, 0, 0, 3.851328855830616e-08, 1.925664446338202e-12, 38, 6.841398313010892e-17, 3.420870200015447e-21, 5.848820564879254e-11, 20000
3, 0, 0, 1.651910075395335e-08, 8.259550405489639e-13, 24, 2.207037960236628e-17, 1.103574158826255e-21, 3.322008667698288e-11, 20000
4, 0, 0, 9.825842361976811e-09, 4.912920980518142e-13, 23, 1.007273285628535e-17, 5.036618259055627e-22, 2.244241132110279e-11, 20000
5, 0, 0, 7.386284917032526e-09, 3.693142528124128e-13, 22, 6.210323545842148e-18, 3.105317038773012e-22, 1.762190976816364e-11, 20000
6, 0, 0, 6.710779931751176e-09, 3.355390054872646e-13, 13, 5.139727821187168e-18, 2.569992410214095e-22, 1.603119586997207e-11, 20000
7, 0, 0, 4.410717568958944e-09, 2.205358828604286e-13, 10, 3.023444897514159e-18, 1.511798038659012e-22, 1.229551966636226e-11, 20000
8, 0, 0, 2.70192934692659e-09, 1.350964713130174e-13, 12, 1.470647250044118e-18, 7.35360393041711e-23, 8.575315697055772e-12, 20000
9, 0, 0, 3.025219186270078e-09, 1.512609538804331e-13, 8, 1.676014190046892e-18, 8.380489974733198e-23, 9.154501611083586e-12, 20000
10, 0, 0, 1.815405936689274e-09, 9.077029677691361e-14, 12, 7.749228478963087e-19, 3.874807979880537e-23, 6.224795562812113e-12, 20000
11, 0, 0, 2.42000841588208e-09, 1.210004239441262e-13, 10, 1.098959666984776e-18, 5.495073088578307e-23, 7.412876019857818e-12, 20000
12, 0, 0, 2.660841769142053e-09, 1.33042083764506e-13, 12, 1.05829557391778e-18, 5.291742456711735e-23, 7.274436374532212e-12, 20000
13, 0, 0, 1.807654470553643e-09, 9.0382721675321e-14, 10, 6.806239952392701e-19, 3.403290140703386e-23, 5.833772485024922e-12, 20000
14, 0, 0, 1.891449663560252e-09, 9.457248671071301e-14, 9, 6.709894590593725e-19, 3.355115051049415e-23, 5.792335497059381e-12, 20000
15, 0, 0, 1.248803727094128e-09, 6.244018690063482e-14, 9, 4.466594867411964e-19, 2.23340910416119e-23, 4.725895792504517e-12, 20000
16, 0, 0, 8.029648057572558e-10, 4.014824011801468e-14, 7, 2.330538148963695e-19, 1.16532734084889e-23, 3.413689120070675e-12, 20000
17, 0, 0, 6.527604567985179e-10, 3.26380233317651e-14, 8, 1.554388624452383e-19, 7.772331738848856e-24, 2.787890194905254e-12, 20000
18, 0, 0, 1.184379372354272e-09, 5.921897131714371e-14, 7, 3.181371941790967e-19, 1.590765509170942e-23, 3.988440182791942e-12, 20000
19, 0, 0, 1.154748296983144e-09, 5.773741402437998e-14, 6, 3.064878319795241e-19, 1.532515785686905e-23, 3.914735988143906e-12, 20000
20, 0, 0, 8.239237625495832e-10, 4.119618732794769e-14, 4, 2.202348824646832e-19, 1.101229473797106e-23, 3.318477774216826e-12, 20000
21, 0, 0, 3.139053461609365e-10, 1.569526795381178e-14, 4, 8.663680921901168e-20, 4.332057063803774e-24, 2.081359426865954e-12, 20000
22, 0, 0, 5.422202686844457e-10, 2.711101351636414e-14, 5, 1.374398496944897e-19, 6.872336101529561e-24, 2.621514085701155e-12, 20000
23, 0, 0, 4.249254073607212e-11, 2.124626974911639e-15, 3, 7.705452368546063e-22, 3.852918830214542e-26, 1.962885332925625e-13, 20000
24, 0, 0, 7.074333896461837e-10, 3.537166934059394e-14, 9, 1.409393394134957e-19, 7.047319336641616e-24, 2.654678763361325e-12, 20000
25, 0, 0, 8.157864939128956e-10, 4.078932405071889e-14, 7, 1.607944862310772e-19, 8.040126317869752e-24, 2.835511650102985e-12, 20000
26, 0, 0, 6.669069740894429e-10, 3.334534748531593e-14, 4, 1.379323869536126e-19, 6.896964195890427e-24, 2.626207188302253e-12, 20000
27, 0, 0, 3.352780206244965e-11, 1.676390027707784e-15, 3, 4.590745356149856e-22, 2.29548745244755e-26, 1.5150866154935e-13, 20000
28, 0, 0, 4.060991543042292e-10, 2.030495830994582e-14, 4, 7.152359929272597e-20, 3.576358782575427e-24, 1.891126326445546e-12, 20000
29, 0, 0, 2.75477696209947e-11, 1.377388445402397e-15, 2, 4.24874871866961e-22, 2.124480583363973e-26, 1.457559804386761e-13, 20000
30, 0, 0, 3.446868068746056e-10, 1.723434014510221e-14, 2, 5.941807203084568e-20, 2.971052154149991e-24, 1.723674027810941e-12, 20000
31, 0, 0, 3.247985491672267e-10, 1.623992749223871e-14, 3, 4.818232369510933e-20, 2.409236646587796e-24, 1.552171590574894e-12, 20000
